ID,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
77,s,"A,E,I",4456171,2698906,7223.704,4.07,2.03,0.5,0.68,0.42,0.26,0.026,0.65,0.62,0.074,0.09,-12.3,0.036,0.786,0.795,2.165,252.917,0.0,0.0,0,1,0.786,2.165,0.5,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
78,s,"E,F",4468382,2673410,135.627,3.98,1.84,0.46,0.49,0.45,0.146,0.0,0.55,0.47,0.031,0.07,-13.9,0.01,0.61,0.634,3.254,262.083,5.361,74.694,0,1,0.61,3.254,0.46,impact_s,snow_influenced,humid,low_storage,low_perm,medium
83,u,-,4458404,2678864,15.924,4.34,1.96,0.45,0.55,0.35,0.076,0.0,0.48,0.39,0.03,0.06,-14.1,0.01,0.699,0.756,2.816,249.619,0.238,15.858,0,0,0.699,2.816,0.45,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
87,s,"A,I",4461846,2694325,1095.132,4.18,2.01,0.48,0.58,0.39,0.271,0.015,0.63,0.56,0.05,0.09,-12.8,0.015,0.735,0.614,1.842,243.556,0.0,3.056,0,1,0.735,1.842,0.48,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
89,u,-,4457180,2710368,14.913,5.04,2.24,0.44,0.64,0.24,0.483,0.0,0.29,0.36,0.107,0.06,-11.8,0.06,0.581,0.536,3.205,236.944,2.722,56.194,0,0,0.581,3.205,0.44,near_natural,snow_influenced,humid,low_storage,high_perm,small
91,u,-,4461724,2706341,272.137,5.14,2.33,0.45,0.66,0.24,0.784,0.003,0.59,0.45,0.081,0.07,-11.8,0.071,0.618,0.565,1.976,214.694,2.056,0.722,0,0,0.618,1.976,0.45,near_natural,snow_influenced,humid,low_storage,high_perm,medium
93,l,-,4485239,2704696,82.052,4.73,2.21,0.47,0.66,0.3,0.469,0.0,0.72,0.65,0.078,0.1,-13.3,0.021,0.673,0.65,2.18,231.296,0.593,1.222,0,0,0.673,2.18,0.47,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
103,l,-,4501276,2707482,153.221,4.75,2.19,0.46,0.65,0.3,0.38,0.046,0.66,0.65,0.043,0.1,-12.6,0.032,0.662,0.661,2.333,229.25,0.611,6.0,0,0,0.662,2.333,0.46,near_natural,snow_influenced,humid,mixed_storage,mixed_perm,medium
105,l,-,4502029,2714682,147.614,4.89,2.24,0.46,0.66,0.28,0.433,0.041,0.78,0.62,0.061,0.1,-12.3,0.039,0.669,0.652,2.146,224.444,0.694,4.111,0,0,0.669,2.146,0.46,near_natural,snow_influenced,humid,mixed_storage,mixed_perm,medium
106,l,-,4503123,2714670,333.317,4.85,2.23,0.46,0.66,0.29,0.404,0.05,0.73,0.65,0.056,0.1,-12.4,0.036,0.671,0.655,2.242,226.583,0.639,1.806,0,0,0.671,2.242,0.46,near_natural,snow_influenced,humid,mixed_storage,mixed_perm,medium
121,s,"A,I",4529857,2688218,88.842,4.55,1.9,0.42,0.48,0.4,0.196,0.015,0.55,0.5,0.031,0.08,-13.7,0.01,0.611,0.413,2.21,189.917,0.0,39.861,0,1,0.611,2.21,0.42,impact_s,snow_influenced,humid,low_storage,low_perm,small
122,s,"A,E,I",4534830,2690006,1167.096,4.46,2.02,0.45,0.55,0.39,0.307,0.023,0.77,0.59,0.04,0.09,-13.2,0.013,0.795,0.78,1.946,249.25,0.0,0.139,0,1,0.795,1.946,0.45,impact_s,snow_influenced,humid,high_storage,low_perm,large
133,m,G,4560433,2724057,395.356,5.38,2.11,0.39,0.54,0.3,0.601,0.014,0.78,0.51,0.036,0.08,-11.8,0.073,0.625,0.571,2.418,225.167,1.64,11.145,0,1,0.625,2.418,0.39,impact_m,snow_influenced,humid,low_storage,high_perm,medium
147,s,A,4543821,2748698,1145.452,5.29,2.19,0.41,0.6,0.27,0.584,0.036,1.45,0.59,0.044,0.09,-11.9,0.06,0.709,0.694,1.819,222.667,0.584,0.083,0,1,0.709,1.819,0.41,impact_s,snow_influenced,humid,mixed_storage,high_perm,large
148,l,-,4545377,2767338,40.757,3.81,2.29,0.6,0.72,0.09,0.273,0.045,5.11,1.02,0.095,0.18,-15.0,0.19,0.599,0.575,1.29,187.029,5.853,1.323,0,0,0.599,1.29,0.6,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
150,l,-,4539609,2773047,70.298,3.59,2.27,0.63,0.72,0.08,0.276,0.053,19.72,1.17,0.217,0.2,-15.0,0.19,0.434,0.349,2.518,181.556,14.194,52.611,0,0,0.434,2.518,0.63,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
154,l,-,4555353,2778674,135.497,3.91,2.28,0.58,0.7,0.1,0.176,0.081,9.75,0.9,0.095,0.16,-12.6,0.172,0.706,0.714,1.429,185.361,1.278,7.75,0,0,0.706,1.429,0.58,near_natural,low_snow,moderate_aridity,mixed_storage,mixed_perm,medium
163,l,-,4576002,2785906,23.498,3.52,2.22,0.63,0.68,0.11,0.445,0.019,5.07,0.61,0.246,0.1,-15.0,0.19,0.639,0.588,1.08,172.111,3.722,0.083,0,0,0.639,1.08,0.63,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
177,l,-,4585276,2813258,39.257,2.93,2.23,0.76,0.87,0.05,0.058,0.034,12.13,0.54,0.36,0.09,-15.0,0.19,0.461,0.385,2.629,152.917,12.5,67.583,0,0,0.461,2.629,0.76,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
182,m,G,4611078,2823686,200.641,2.62,2.18,0.83,0.77,0.1,0.331,0.035,1.04,1.2,0.582,0.14,-14.1,0.01,0.636,0.616,2.152,156.972,3.917,8.167,0,1,0.636,2.152,0.83,impact_m,low_snow,dry,low_storage,low_perm,medium
183,l,-,4603750,2850320,123.278,2.82,2.09,0.74,0.66,0.14,0.411,0.018,1.11,1.18,0.479,0.14,-14.1,0.01,0.665,0.667,1.562,173.417,2.889,1.417,0,0,0.665,1.562,0.74,near_natural,mixed_snow,moderate_aridity,mixed_storage,low_perm,medium
185,l,-,4619789,2837010,138.094,2.61,2.15,0.82,0.75,0.12,0.483,0.024,1.03,0.91,0.674,0.12,-14.1,0.01,0.693,0.705,1.637,176.75,1.472,2.611,0,0,0.693,1.637,0.82,near_natural,mixed_snow,dry,mixed_storage,low_perm,medium
191,l,-,4598598,2802527,26.129,2.87,2.25,0.78,0.83,0.06,0.046,0.127,14.27,0.5,0.335,0.09,-15.0,0.19,0.531,0.479,1.727,154.944,8.028,22.556,0,0,0.531,1.727,0.78,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
194,l,-,4599821,2813601,48.001,2.69,2.21,0.82,0.81,0.07,0.284,0.035,9.42,0.99,0.415,0.12,-14.3,0.091,0.489,0.432,1.788,155.444,12.361,19.278,0,0,0.489,1.788,0.82,near_natural,low_snow,dry,low_storage,low_perm,small
204,l,D,4601056,2723737,329.036,5.24,2.01,0.38,0.48,0.3,0.415,0.029,0.99,0.47,0.036,0.08,-11.8,0.061,0.61,0.593,2.901,230.417,0.778,25.639,0,1,0.61,2.901,0.38,impact_l,snow_influenced,humid,low_storage,high_perm,medium
216,m,C,4579733,2749361,246.484,4.55,2.25,0.49,0.61,0.17,0.443,0.071,1.55,0.67,0.062,0.11,-12.5,0.168,0.622,0.576,1.812,185.583,0.5,0.333,0,1,0.622,1.812,0.49,impact_m,mixed_snow,humid,low_storage,mixed_perm,medium
219,l,-,4578038,2769635,98.028,3.92,2.2,0.56,0.63,0.12,0.413,0.056,6.58,0.5,0.102,0.08,-13.0,0.182,0.672,0.641,1.08,178.778,2.25,0.0,0,0,0.672,1.08,0.56,near_natural,mixed_snow,moderate_aridity,mixed_storage,mixed_perm,small
234,s,C,4618355,2788875,3420.11,4.45,2.17,0.49,0.58,0.19,0.483,0.06,4.0,0.54,0.096,0.09,-12.1,0.126,0.7,0.66,1.755,213.0,0.167,0.0,0,1,0.7,1.755,0.49,impact_s,mixed_snow,humid,mixed_storage,high_perm,large
241,l,-,4650261,2813249,106.654,2.6,2.23,0.86,0.88,0.1,0.347,0.083,1.25,0.92,0.799,0.12,-14.2,0.023,0.581,0.552,2.415,165.694,6.167,38.222,0,0,0.581,2.415,0.86,near_natural,low_snow,dry,low_storage,low_perm,small
256,m,G,4718685,2750661,281.301,3.82,2.23,0.58,0.67,0.22,0.847,0.011,0.73,0.46,0.082,0.08,-11.8,0.066,0.686,0.682,1.782,199.861,1.278,1.194,0,1,0.686,1.782,0.58,impact_m,mixed_snow,moderate_aridity,mixed_storage,high_perm,medium
257,m,G,4709181,2742680,54.409,3.98,2.15,0.54,0.63,0.27,0.869,0.0,0.67,0.34,0.067,0.06,-11.8,0.06,0.446,0.37,2.939,208.139,16.074,76.564,0,1,0.446,2.939,0.54,impact_m,snow_influenced,humid,low_storage,high_perm,small
262,l,-,4654134,2762569,168.996,4.15,2.23,0.54,0.79,0.2,0.915,0.003,0.71,0.37,0.053,0.07,-11.9,0.084,0.526,0.451,2.096,189.528,6.417,9.556,0,0,0.526,2.096,0.54,near_natural,mixed_snow,humid,low_storage,high_perm,medium
273,m,G,4636495,2748106,233.334,4.59,2.15,0.47,0.67,0.24,0.6,0.022,0.97,0.47,0.048,0.08,-11.9,0.094,0.657,0.631,2.124,218.861,0.972,0.778,0,1,0.657,2.124,0.47,impact_m,snow_influenced,humid,mixed_storage,high_perm,medium
282,l,-,4652483,2780122,71.268,3.38,2.27,0.67,0.95,0.12,0.403,0.051,1.36,0.39,0.122,0.07,-13.3,0.186,0.471,0.397,2.361,168.722,9.417,47.667,0,0,0.471,2.361,0.67,near_natural,mixed_snow,moderate_aridity,low_storage,low_perm,small
284,l,-,4656343,2824737,185.274,2.73,2.18,0.8,0.88,0.12,0.357,0.062,1.0,0.76,0.885,0.11,-13.9,0.023,0.607,0.578,2.122,181.917,3.972,16.333,0,0,0.607,2.122,0.8,near_natural,mixed_snow,moderate_aridity,low_storage,low_perm,medium
288,m,E,4659938,2798628,95.57,2.8,2.32,0.83,1.12,0.08,0.09,0.069,14.82,0.76,0.324,0.11,-15.0,0.19,0.762,0.743,0.969,181.944,0.944,0.0,0,1,0.762,0.969,0.83,impact_m,low_snow,dry,high_storage,low_perm,small
317,l,-,4713101,2801782,285.944,2.91,2.4,0.82,1.22,0.11,0.221,0.029,6.21,0.98,0.255,0.14,-12.8,0.151,0.583,0.551,1.735,172.25,5.361,20.361,0,0,0.583,1.735,0.82,near_natural,low_snow,dry,low_storage,mixed_perm,medium
323,s,A,4725376,2822619,95836.573,3.41,2.23,0.65,0.79,0.15,0.366,0.054,8.4,0.96,0.328,0.13,-11.7,0.125,0.806,0.805,1.132,207.75,0.0,0.0,0,1,0.806,1.132,0.65,impact_s,mixed_snow,moderate_aridity,high_storage,high_perm,large
329,l,-,4754100,2782491,41.208,2.85,2.43,0.85,1.0,0.13,0.87,0.005,0.59,0.52,0.141,0.08,-11.8,0.063,0.781,0.776,0.924,191.75,0.833,0.0,0,0,0.781,0.924,0.85,near_natural,mixed_snow,dry,high_storage,high_perm,small
331,l,-,4745145,2786534,216.332,2.91,2.42,0.83,1.01,0.14,0.735,0.026,0.7,0.43,0.151,0.07,-11.9,0.088,0.668,0.651,1.463,182.917,2.333,0.389,0,0,0.668,1.463,0.83,near_natural,mixed_snow,dry,mixed_storage,high_perm,medium
344,l,-,4748886,2803543,53.931,2.33,2.52,1.08,1.37,0.1,0.425,0.046,4.5,0.86,0.183,0.13,-15.0,0.19,0.547,0.51,1.877,186.029,8.086,29.999,0,0,0.547,1.877,1.08,near_natural,low_snow,dry,low_storage,low_perm,small
347,l,-,4767129,2811903,68.102,2.12,2.64,1.25,1.62,0.08,0.567,0.074,3.5,0.74,0.372,0.12,-15.0,0.19,0.622,0.611,2.111,190.688,5.156,43.219,0,0,0.622,2.111,1.25,near_natural,low_snow,dry,low_storage,low_perm,small
349,m,B,4758259,2844420,212.854,1.84,2.6,1.41,1.74,0.07,0.109,0.059,7.84,1.16,0.203,0.16,-13.5,0.125,0.726,0.716,1.696,190.25,2.972,14.667,0,1,0.726,1.696,1.41,impact_m,low_snow,dry,mixed_storage,low_perm,medium
357,l,-,4781048,2785909,180.405,2.35,2.54,1.08,1.34,0.1,0.782,0.037,2.26,0.52,0.383,0.08,-12.3,0.151,0.518,0.475,2.276,174.444,10.056,38.778,0,0,0.518,2.276,1.08,near_natural,low_snow,dry,low_storage,mixed_perm,medium
366,l,-,4761071,2768857,49.936,3.16,2.44,0.77,0.94,0.16,0.935,0.002,0.66,0.37,0.112,0.07,-11.8,0.06,0.759,0.762,0.981,183.611,1.028,0.0,0,0,0.759,0.981,0.77,near_natural,mixed_snow,moderate_aridity,high_storage,high_perm,small
367,s,E,4771158,2770027,229.466,3.0,2.47,0.82,1.01,0.13,0.888,0.021,0.85,0.39,0.139,0.07,-11.8,0.06,0.697,0.705,2.328,194.357,2.857,64.637,0,1,0.697,2.328,0.82,impact_s,mixed_snow,dry,mixed_storage,high_perm,medium
370,s,E,4793822,2778009,329.017,2.84,2.53,0.89,1.1,0.12,0.761,0.076,5.6,0.4,0.235,0.07,-11.9,0.087,0.786,0.797,1.215,182.361,0.694,0.0,0,1,0.786,1.215,0.89,impact_s,mixed_snow,dry,high_storage,high_perm,medium
375,s,"E,I",4819588,2813049,481.406,1.88,2.8,1.49,1.76,0.06,0.103,0.131,30.52,1.15,0.258,0.16,-15.0,0.19,0.868,0.865,1.855,173.306,0.0,89.392,0,1,0.868,1.855,1.49,impact_s,low_snow,dry,high_storage,low_perm,large
376,s,"E,I",4833115,2809979,540.563,1.88,2.81,1.49,1.75,0.06,0.092,0.12,32.66,1.17,0.253,0.16,-15.0,0.19,,,,,,,0,1,,,1.49,impact_s,low_snow,dry,unknown,low_perm,large
387,m,"A,K",4724333,2874166,1405.428,2.1,2.23,1.06,1.3,0.11,0.309,0.037,1.05,0.99,0.57,0.13,-13.6,0.023,0.588,0.551,2.332,169.167,7.25,32.25,0,1,0.588,2.332,1.06,impact_m,low_snow,dry,low_storage,low_perm,large
393,s,"A,K",4827243,2868429,12616.731,1.95,2.44,1.25,1.56,0.09,0.278,0.056,6.01,1.2,0.488,0.15,-12.3,0.088,0.696,0.666,1.674,167.222,1.778,0.0,0,1,0.696,1.674,1.25,impact_s,low_snow,dry,mixed_storage,mixed_perm,large
397,s,A,4826578,2831163,25615.598,2.02,2.45,1.21,1.45,0.1,0.305,0.062,8.41,1.22,0.405,0.16,-12.2,0.13,0.689,0.695,1.969,175.056,1.611,7.417,0,1,0.689,1.969,1.21,impact_s,low_snow,dry,mixed_storage,mixed_perm,large
406,m,E,4773513,2751940,114.514,3.04,2.45,0.81,0.91,0.13,0.717,0.045,0.87,0.34,0.161,0.06,-11.8,0.06,0.782,0.807,1.46,194.667,0.028,1.667,0,1,0.782,1.46,0.81,impact_m,mixed_snow,dry,high_storage,high_perm,medium
415,m,I,4786477,2764762,92.703,2.65,2.65,1.0,1.36,0.09,0.388,0.145,9.84,0.35,0.431,0.06,-12.3,0.151,0.827,0.822,1.767,188.556,0.0,8.333,0,1,0.827,1.767,1.0,impact_m,low_snow,dry,high_storage,mixed_perm,small
431,l,-,4802136,2757178,76.675,2.27,2.7,1.19,1.46,0.08,0.484,0.126,3.65,0.99,0.69,0.15,-14.5,0.131,0.731,0.711,1.456,188.794,1.176,4.0,0,0,0.731,1.456,1.19,near_natural,low_snow,dry,high_storage,low_perm,small
432,l,-,4807673,2763796,218.621,2.19,2.72,1.24,1.56,0.07,0.314,0.118,8.3,1.11,0.483,0.16,-14.7,0.157,0.719,0.7,1.509,181.583,2.083,8.528,0,0,0.719,1.509,1.24,near_natural,low_snow,dry,mixed_storage,low_perm,medium
445,l,-,4774053,2715090,268.126,2.76,2.44,0.88,0.87,0.11,0.539,0.023,0.97,0.65,0.415,0.11,-13.2,0.02,0.804,0.822,1.205,202.194,0.25,0.0,0,0,0.804,1.205,0.88,near_natural,low_snow,dry,high_storage,low_perm,medium
450,l,-,4762655,2704007,57.878,2.54,2.49,0.98,0.96,0.09,0.437,0.043,1.28,0.64,0.579,0.11,-14.2,0.028,0.673,0.653,1.546,198.222,3.496,6.457,0,0,0.673,1.546,0.98,near_natural,low_snow,dry,mixed_storage,low_perm,small
457,l,-,4782879,2714353,133.137,2.6,2.5,0.96,0.99,0.1,0.599,0.046,2.06,0.61,0.58,0.1,-14.3,0.076,0.755,0.747,1.377,196.567,0.3,1.7,0,0,0.755,1.377,0.96,near_natural,low_snow,dry,high_storage,low_perm,medium
469,l,-,4795573,2730043,114.008,2.44,2.58,1.06,1.14,0.09,0.439,0.032,1.2,0.66,0.612,0.11,-13.1,0.063,0.698,0.688,1.714,189.667,2.111,11.056,0,0,0.698,1.714,1.06,near_natural,low_snow,dry,mixed_storage,low_perm,small
472,s,-,4594586,2671530,160.959,3.76,1.96,0.52,0.44,0.38,0.326,0.01,0.54,0.52,0.033,0.08,-12.4,0.024,0.707,0.718,2.031,238.028,0.167,8.694,0,0,0.707,2.031,0.52,near_natural,snow_influenced,humid,mixed_storage,mixed_perm,medium
473,s,A,4597206,2671169,289.866,3.72,1.95,0.52,0.44,0.38,0.339,0.011,0.56,0.55,0.033,0.09,-12.5,0.019,0.736,0.722,1.912,239.417,0.111,1.722,0,1,0.736,1.912,0.52,impact_s,snow_influenced,humid,high_storage,mixed_perm,medium
477,l,-,4608793,2678066,48.068,3.68,1.94,0.53,0.43,0.33,0.359,0.001,0.65,0.68,0.032,0.11,-14.2,0.024,0.683,0.737,2.55,242.292,0.083,23.375,0,0,0.683,2.55,0.53,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
483,l,-,4645424,2679382,173.846,3.39,2.02,0.6,0.5,0.26,0.486,0.016,0.78,0.63,0.061,0.1,-12.9,0.017,0.738,0.778,1.882,235.529,0.118,1.177,0,0,0.738,1.882,0.6,near_natural,snow_influenced,moderate_aridity,high_storage,mixed_perm,medium
484,s,A,4665006,2687916,2363.61,3.36,2.01,0.6,0.48,0.28,0.515,0.015,0.84,0.65,0.078,0.11,-12.7,0.025,0.753,0.79,1.768,232.833,0.222,0.167,0,1,0.753,1.768,0.6,impact_s,snow_influenced,moderate_aridity,high_storage,mixed_perm,large
485,u,-,4646646,2702588,24.571,3.68,1.92,0.52,0.43,0.31,0.251,0.0,0.58,0.59,0.03,0.09,-12.7,0.017,0.8,0.891,1.577,230.7,0.0,0.0,0,0,0.8,1.577,0.52,near_natural,snow_influenced,humid,high_storage,mixed_perm,small
492,u,-,4732273,2750172,105.148,3.65,2.1,0.58,0.61,0.21,0.772,0.003,0.68,0.33,0.069,0.06,-11.8,0.06,0.584,0.545,2.094,208.0,3.714,3.214,0,0,0.584,2.094,0.58,near_natural,mixed_snow,moderate_aridity,low_storage,high_perm,small
499,s,"A,G",4719504,2713815,6214.4,3.35,2.1,0.63,0.57,0.23,0.603,0.03,1.02,0.66,0.165,0.11,-12.5,0.04,0.776,0.803,1.487,223.611,0.0,0.0,0,1,0.776,1.487,0.63,impact_s,snow_influenced,moderate_aridity,high_storage,mixed_perm,large
500,m,G,4725578,2691021,117.546,2.71,2.27,0.84,0.74,0.14,0.791,0.019,0.64,0.57,0.211,0.09,-12.3,0.033,0.703,0.713,1.717,214.889,1.889,5.972,0,1,0.703,1.717,0.84,impact_m,mixed_snow,dry,mixed_storage,mixed_perm,medium
501,s,"A,G",4724159,2686744,6791.957,3.29,2.12,0.64,0.58,0.22,0.617,0.03,1.0,0.66,0.177,0.1,-12.4,0.04,0.782,0.81,1.458,222.667,0.0,0.0,0,1,0.782,1.458,0.64,impact_s,mixed_snow,moderate_aridity,high_storage,mixed_perm,large
506,l,-,4724085,2671271,49.9,2.49,2.47,0.99,0.99,0.08,0.476,0.037,3.47,0.41,0.354,0.07,-12.2,0.138,0.501,0.449,2.52,196.0,8.909,48.361,0,0,0.501,2.52,0.99,near_natural,low_snow,dry,low_storage,mixed_perm,small
510,m,G,4718630,2640882,75.711,2.87,2.14,0.75,0.59,0.15,0.71,0.002,0.98,0.66,0.281,0.11,-14.1,0.011,0.773,0.79,1.287,213.583,0.472,0.0,0,1,0.773,1.287,0.75,impact_m,mixed_snow,moderate_aridity,high_storage,low_perm,small
513,l,-,4722489,2649080,84.916,2.86,2.23,0.78,0.67,0.14,0.764,0.063,1.01,0.65,0.412,0.1,-14.2,0.023,0.745,0.734,1.381,202.886,0.714,0.086,0,0,0.745,1.381,0.78,near_natural,mixed_snow,moderate_aridity,high_storage,low_perm,small
523,l,-,4768078,2641842,122.319,2.19,2.47,1.13,1.04,0.07,0.328,0.021,6.85,0.55,0.357,0.09,-14.0,0.187,0.489,0.42,2.192,163.306,10.528,43.389,0,0,0.489,2.192,1.13,near_natural,low_snow,dry,low_storage,low_perm,medium
525,l,-,4506724,2633402,62.193,3.47,1.93,0.56,0.52,0.35,0.279,0.001,0.64,0.65,0.066,0.1,-14.1,0.01,0.77,0.871,2.302,245.769,0.0,0.0,0,0,0.77,2.302,0.56,near_natural,snow_influenced,moderate_aridity,high_storage,low_perm,small
535,l,-,4521168,2660445,47.242,4.34,1.75,0.4,0.41,0.46,0.05,0.0,0.65,0.42,0.031,0.06,-14.1,0.01,0.685,0.751,4.801,277.0,3.278,107.25,0,0,0.685,4.801,0.4,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
537,s,"A,E",4532185,2639296,1198.335,3.93,1.9,0.48,0.5,0.42,0.26,0.009,0.6,0.59,0.046,0.09,-13.9,0.01,0.717,0.77,3.973,265.972,0.306,38.972,0,1,0.717,3.973,0.48,impact_s,snow_influenced,humid,mixed_storage,low_perm,large
538,s,A,4533578,2638553,1877.359,3.82,1.96,0.51,0.54,0.39,0.329,0.014,0.6,0.64,0.054,0.1,-12.6,0.019,0.745,0.802,3.237,259.028,0.056,7.944,0,1,0.745,3.237,0.51,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
539,l,-,4536859,2643155,58.089,3.92,1.88,0.48,0.46,0.31,0.246,0.0,0.61,0.49,0.04,0.07,-14.1,0.01,0.702,0.737,2.7,254.194,1.032,3.516,0,0,0.702,2.7,0.48,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
547,s,"A,E,I",4572903,2645790,1047.346,3.92,1.94,0.49,0.48,0.36,0.343,0.012,0.64,0.6,0.034,0.09,-13.5,0.011,0.761,0.74,1.654,239.444,0.028,0.167,0,1,0.761,1.654,0.49,impact_s,snow_influenced,humid,high_storage,low_perm,large
556,l,D,4588960,2639694,286.058,3.01,2.11,0.7,0.5,0.23,0.514,0.055,0.78,0.69,0.073,0.11,-12.9,0.024,0.777,0.846,1.411,207.389,0.0,0.0,0,1,0.777,1.411,0.7,impact_l,snow_influenced,moderate_aridity,high_storage,mixed_perm,medium
562,l,-,4630600,2628483,88.68,3.11,2.22,0.71,0.61,0.11,0.597,0.064,1.16,0.65,0.237,0.1,-14.1,0.01,0.851,0.871,0.873,182.833,0.0,0.0,0,0,0.851,0.873,0.71,near_natural,low_snow,moderate_aridity,high_storage,low_perm,small
563,l,D,4618403,2621410,165.493,3.18,2.24,0.7,0.62,0.11,0.584,0.089,1.14,0.69,0.174,0.11,-13.4,0.024,0.862,0.95,1.018,180.472,0.0,0.111,0,1,0.862,1.018,0.7,impact_l,low_snow,moderate_aridity,high_storage,low_perm,medium
569,l,-,4598260,2614335,907.917,4.43,2.18,0.49,0.58,0.21,0.594,0.02,0.75,0.58,0.044,0.09,-12.1,0.048,0.712,0.749,1.571,192.778,1.583,0.0,0,0,0.712,1.571,0.49,near_natural,mixed_snow,humid,mixed_storage,high_perm,large
570,m,G,4600995,2609493,188.118,4.64,2.16,0.47,0.47,0.14,0.696,0.024,0.56,0.77,0.039,0.12,-11.9,0.103,0.7,0.722,1.471,183.75,2.167,0.528,0,1,0.7,1.471,0.47,impact_m,mixed_snow,humid,mixed_storage,high_perm,medium
