ID,area_calc,elev_mean,elev_med,elev_std,elev_ran,slope_mean,mvert_dist,mvert_ang,elon_ratio,strm_dens,p_mean,et0_mean,eta_mean,arid_1,arid_2,p_season,frac_snow,hi_prec_fr,hi_prec_du,hi_prec_ti,lo_prec_fr,lo_prec_du,lo_prec_ti,lc_dom,agr_fra,bare_fra,forest_fra,glac_fra,lake_fra,urban_fra,lai_max,lai_diff,ndvi_max,ndvi_min,gvf_max,gvf_diff,bedrk_dep,root_dep,soil_poros,soil_condu,soil_tawc,sand_fra,silt_fra,clay_fra,grav_fra,oc_fra,gc_dom,gc_ig_fra,gc_mt_fra,gc_pa_fra,gc_pb_fra,gc_pi_fra,gc_py_fra,gc_sc_fra,gc_sm_fra,gc_ss_fra,gc_su_fra,gc_va_fra,gc_vb_fra,gc_wb_fra,geol_perme,geol_poros,govnr,name,river,area_gov,elev,lon,lat,country,fedstate,region,obsbeg_day,obsbeg_hr,obsend,gaps_pre,gaps_post,area_ratio,nrs_euhyd,nrs_rivat,typimpact,diur_art,diur_glac,degimpact,h1989_q_mean,h1989_runoff_ratio,h1989_stream_elas,h1989_slope_fdc,h1989_baseflow_index_ladson,h1989_baseflow_index_lfstat,h1989_hfd_mean,h1989_Q5,h1989_Q95,h1989_high_q_freq,h1989_high_q_dur,h1989_low_q_freq,h1989_low_q_dur,h1989_zero_q_freq,h1981_q_mean,h1981_runoff_ratio,h1981_stream_elas,h1981_slope_fdc,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_hfd_mean,h1981_Q5,h1981_Q95,h1981_high_q_freq,h1981_high_q_dur,h1981_low_q_freq,h1981_low_q_dur,h1981_zero_q_freq,wb_P,wb_PCRPS,wb_PERA5,wb_PMSW,wb_PET,wb_ET0,wb_ETA,wb_Q1,wb_Q2,transfer_count,has_transfer,is_impacted,valid_runoff_days
77,7223.704,2046,2130,633,3464,370,195.1,56,0.491,0.67,4.07,2.03,0.83,0.5,0.68,0.37,0.42,8.75,1.14,jja,154.05,2.86,djf,312,0.069,0.352,0.26,0.033,0.002,0.026,1.92,1.85,0.52,0.02,0.66,0.79,0.65,0.62,0.44,0.074,0.09,0.572,0.276,0.152,0.12,0.013,mt,0.006,0.639,0.022,0.007,0.0,0.0,0.262,0.009,0.004,0.047,0.001,0.002,0.001,-12.3,0.036,201681,Jenbach-Rotholz,Inn,7230.7,522,4456171,2698906,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,0.999,RL35051364,20443993.0,"A,E,I",1,0,s,2.568,0.632,1.074,2.136,0.787,0.785,251.05,0.933,5.993,0.0,0.0,0.0,0.0,0.0,2.584,0.632,1.3,2.165,0.786,0.795,252.917,0.929,6.065,0.0,0.0,0.0,0.0,0.0,4.07,3.07,4.41,3.13,4.8,2.03,0.83,2.57,2.58,0,0,1,13514
78,135.627,2242,2302,434,2220,440,17.0,299,0.773,0.61,3.98,1.84,0.86,0.46,0.49,0.4,0.45,9.7,1.1,jja,165.35,2.82,djf,332,0.038,0.629,0.146,0.03,0.01,0.0,1.29,1.26,0.41,-0.03,0.51,0.71,0.55,0.47,0.41,0.031,0.07,0.702,0.193,0.105,0.113,0.015,pa,0.0,0.179,0.819,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,-13.9,0.01,201699,Klaushof (Bruecke),Ziller,135.3,1011,4468382,2673410,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.002,RL35047407,20450563.0,"E,F",1,0,s,0.473,0.119,1.481,2.949,0.64,0.668,258.25,0.059,1.177,3.35,1.34,62.4,21.895,0.0,0.508,0.127,1.804,3.254,0.61,0.634,262.083,0.043,1.337,5.361,1.569,74.694,29.878,0.0,3.98,3.7,4.43,3.98,4.01,1.84,0.86,0.47,0.51,0,0,1,13514
83,15.924,2064,2074,277,1305,336,4.7,106,0.956,0.73,4.34,1.96,0.9,0.45,0.55,0.42,0.35,9.55,1.12,jja,160.35,2.79,djf,321,0.105,0.214,0.076,0.0,0.0,0.0,2.47,2.47,0.62,-0.04,0.89,1.11,0.48,0.39,0.46,0.03,0.06,0.46,0.367,0.174,0.12,0.02,mt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.01,230755,Schwendberg-Aue,Sidanbach,16.0,1383,4458404,2678864,AUT,TYR,Inn above Salzach,1996,1996,0,0.0,0.0,0.995,RL35048217,20449440.0,-,0,0,u,,,,,,,,,,,,,,,3.731,0.837,1.263,2.816,0.699,0.756,249.619,0.76,11.105,0.238,1.667,15.858,9.794,0.0,4.34,3.67,4.52,3.93,7.43,1.96,0.9,,3.73,0,0,0,8036
87,1095.132,1919,1961,576,2921,386,42.8,11,0.872,0.7,4.18,2.01,0.92,0.48,0.58,0.41,0.39,9.15,1.12,jja,161.0,2.78,djf,312,0.094,0.291,0.271,0.032,0.005,0.015,2.33,2.27,0.57,0.01,0.72,0.86,0.63,0.56,0.43,0.05,0.09,0.593,0.263,0.144,0.118,0.013,mt,0.0,0.534,0.357,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.002,0.0,-12.8,0.015,201780,Hart im Zillertal,Ziller,1094.7,531,4461846,2694325,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.0,RL35050636,20445242.0,"A,I",1,0,s,3.584,0.858,0.706,1.689,0.732,0.598,239.95,1.123,7.483,0.0,0.0,2.2,1.375,0.0,3.598,0.856,0.847,1.842,0.735,0.614,243.556,1.083,7.568,0.0,0.0,3.056,2.075,0.0,4.18,3.69,4.58,3.83,6.05,2.01,0.92,3.58,3.6,0,0,1,13514
89,14.913,1510,1477,262,1314,402,5.2,59,0.833,0.98,5.04,2.24,1.44,0.44,0.64,0.42,0.24,8.9,1.16,jja,156.1,2.78,djf,312,0.0,0.208,0.483,0.0,0.0,0.0,2.56,2.42,0.61,0.06,0.71,0.77,0.29,0.36,0.48,0.107,0.06,0.37,0.44,0.19,0.142,0.021,sc,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.8,0.06,230896,Steinberg am Rofan-Aussersteinberg,Grundache,15.0,984,4457180,2710368,AUT,TYR,Inn above Salzach,1981,1981,0,0.0,0.0,0.994,RL35052626,20441290.0,-,0,0,u,2.62,0.52,1.056,3.159,0.576,0.53,234.15,0.313,8.099,2.75,1.31,55.3,14.364,0.0,2.644,0.528,1.422,3.205,0.581,0.536,236.944,0.307,8.19,2.722,1.361,56.194,14.049,0.0,5.04,3.61,4.94,3.75,6.85,2.24,1.44,2.62,2.64,0,0,0,13514
91,272.137,1238,1230,261,1779,335,24.6,180,0.755,0.94,5.14,2.33,1.42,0.45,0.66,0.42,0.24,8.55,1.17,jja,156.25,2.76,djf,312,0.046,0.033,0.784,0.0,0.001,0.003,3.91,3.67,0.74,0.15,0.83,0.76,0.59,0.45,0.48,0.081,0.07,0.365,0.421,0.214,0.136,0.018,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.914,0.086,0.0,0.0,0.0,0.0,0.0,-11.8,0.071,201822,Mariathal,Brandenberger Ache,272.6,529,4461724,2706341,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,0.998,RL35052186,20442348.0,-,0,0,u,3.284,0.639,1.513,2.054,0.612,0.563,211.05,0.906,9.087,1.95,1.3,0.9,3.6,0.0,3.255,0.638,1.676,1.976,0.618,0.565,214.694,0.904,8.951,2.056,1.321,0.722,3.714,0.0,5.14,3.55,4.5,3.98,7.24,2.33,1.42,3.28,3.26,0,0,0,13514
93,82.052,1387,1394,381,1744,301,15.5,338,0.658,1.17,4.73,2.21,1.09,0.47,0.66,0.42,0.3,9.35,1.17,jja,162.6,2.8,djf,312,0.145,0.018,0.469,0.0,0.0,0.0,3.38,3.27,0.73,0.06,0.89,0.95,0.72,0.65,0.45,0.078,0.1,0.515,0.312,0.173,0.123,0.011,mt,0.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.116,0.0,-13.3,0.021,202218,Unterwindau,Windauer Ache,82.1,634,4485239,2704696,AUT,TYR,Inn above Salzach,1990,1990,0,0.0,0.0,0.999,RL35051863,20443316.0,-,0,0,l,,,,,,,,,,,,,,,3.609,0.757,1.344,2.18,0.673,0.65,231.296,1.011,9.448,0.593,1.231,1.222,4.125,0.0,4.73,4.04,5.08,3.87,7.75,2.21,1.09,,3.61,0,0,0,10227
103,153.221,1407,1434,337,1542,295,16.5,355,0.845,0.82,4.75,2.19,1.09,0.46,0.65,0.4,0.3,9.1,1.12,jja,161.85,2.75,djf,321,0.143,0.003,0.38,0.0,0.0,0.046,3.17,3.08,0.73,0.04,0.95,1.04,0.66,0.65,0.45,0.043,0.1,0.534,0.298,0.169,0.111,0.011,mt,0.0,0.69,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.125,0.082,0.0,-12.6,0.032,201913,Kitzbuehel (Bahnhofsbruecke),Kitzbueheler Ache,153.0,735,4501276,2707482,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.001,RL35052388,20442351.0,-,0,0,l,3.125,0.657,1.23,2.244,0.652,0.643,227.35,0.744,8.86,0.8,1.143,4.1,4.1,0.0,3.033,0.64,1.036,2.333,0.662,0.661,229.25,0.723,8.3,0.611,1.222,6.0,5.268,0.0,4.75,4.13,5.08,3.7,7.77,2.19,1.09,3.13,3.03,0,0,0,13514
105,147.614,1262,1224,378,1671,274,26.2,22,0.523,0.87,4.89,2.24,1.2,0.46,0.66,0.4,0.28,8.25,1.15,jja,159.15,2.78,djf,312,0.205,0.031,0.433,0.0,0.002,0.041,3.51,3.41,0.74,0.05,0.9,0.97,0.78,0.62,0.46,0.061,0.1,0.485,0.333,0.182,0.123,0.013,mt,0.0,0.526,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.068,0.105,0.0,-12.3,0.039,201921,Sperten,Aschauer Ache,147.4,669,4502029,2714682,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.001,RL35053191,20440345.0,-,0,0,l,2.904,0.594,1.294,2.051,0.658,0.63,221.65,0.801,7.596,0.95,1.188,1.3,3.25,0.0,2.847,0.585,1.222,2.146,0.669,0.652,224.444,0.756,7.277,0.694,1.25,4.111,5.692,0.0,4.89,3.98,4.96,3.68,7.71,2.24,1.2,2.9,2.85,0,0,0,13514
106,333.317,1296,1296,378,1682,275,26.6,24,0.774,0.84,4.85,2.23,1.16,0.46,0.66,0.4,0.29,8.4,1.14,jja,159.9,2.77,djf,312,0.189,0.015,0.404,0.0,0.001,0.05,3.39,3.29,0.74,0.04,0.93,1.01,0.73,0.65,0.45,0.056,0.1,0.503,0.318,0.179,0.117,0.012,mt,0.0,0.606,0.0,0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.09,0.106,0.0,-12.4,0.036,201939,St. Johann in Tirol,Kitzbueheler Ache,332.4,660,4503123,2714670,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.003,RL35053312,20440230.0,-,0,0,l,2.97,0.613,1.336,2.181,0.66,0.645,224.45,0.785,7.901,0.85,1.214,0.5,3.333,0.0,2.927,0.606,1.499,2.242,0.671,0.655,226.583,0.778,7.558,0.639,1.278,1.806,4.333,0.0,4.85,4.06,5.01,3.67,7.73,2.23,1.16,2.97,2.93,0,0,0,13514
121,88.842,2046,2066,638,2771,433,18.1,20,0.588,0.7,4.55,1.9,0.89,0.42,0.48,0.41,0.4,8.65,1.09,jja,156.55,2.74,djf,321,0.033,0.316,0.196,0.102,0.034,0.015,2.11,2.09,0.46,-0.05,0.56,0.75,0.55,0.5,0.42,0.031,0.08,0.637,0.235,0.128,0.137,0.013,mt,0.0,0.991,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,-13.7,0.01,203109,Kaprun,Kapruner Ache,88.6,764,4529857,2688218,AUT,SBG,Salzach,1981,1977,0,0.0,0.0,1.003,RL35049912,20448973.0,"A,I",1,0,s,10.115,2.222,-0.148,2.13,0.611,0.41,185.15,1.14,21.018,0.0,0.0,38.85,2.652,0.0,10.005,2.193,0.073,2.21,0.611,0.413,189.917,1.041,21.628,0.0,0.0,39.861,2.83,0.0,4.55,4.39,4.57,4.84,5.32,1.9,0.89,10.12,10.01,0,0,1,13514
122,1167.096,1779,1782,602,2885,365,57.2,66,0.674,0.82,4.46,2.02,0.91,0.45,0.55,0.4,0.39,8.85,1.11,jja,159.3,2.75,djf,312,0.109,0.25,0.307,0.038,0.01,0.023,2.61,2.54,0.59,0.02,0.75,0.87,0.77,0.59,0.44,0.04,0.09,0.584,0.264,0.152,0.111,0.014,mt,0.0,0.692,0.258,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.012,0.004,-13.2,0.013,203125,Bruck (Salzach),Salzach,1168.7,747,4534830,2690006,AUT,SBG,Salzach,1981,1977,0,0.0,0.0,0.999,RL35049945,20446832.0,"A,E,I",1,0,s,3.891,0.873,0.694,1.843,0.8,0.782,246.75,1.484,8.016,0.0,0.0,0.05,1.0,0.0,3.897,0.873,0.813,1.946,0.795,0.78,249.25,1.425,8.109,0.0,0.0,0.139,1.0,0.0,4.46,4.21,4.43,4.32,5.8,2.02,0.91,3.89,3.9,0,0,1,13514
133,395.356,1196,1139,398,1921,311,27.0,288,0.832,0.73,5.38,2.11,1.3,0.39,0.54,0.33,0.3,7.9,1.18,jja,152.1,2.7,djf,313,0.147,0.108,0.601,0.0,0.0,0.014,3.83,3.69,0.73,0.1,0.84,0.84,0.78,0.51,0.48,0.036,0.08,0.42,0.382,0.198,0.137,0.016,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.898,0.102,0.0,0.0,0.0,0.0,0.0,-11.8,0.073,203307,Obergaeu,Lammer,394.5,471,4560433,2724057,AUT,SBG,Salzach,1981,1977,0,0.438,0.435,1.002,RL35054329,20438422.0,G,0,0,m,3.92,0.729,1.458,2.439,0.623,0.566,224.75,0.899,10.528,1.952,1.393,8.658,9.105,0.0,3.879,0.729,1.683,2.418,0.625,0.571,225.167,0.86,10.212,1.64,1.311,11.145,7.566,0.0,5.38,4.02,5.12,3.92,6.59,2.11,1.3,3.92,3.88,0,0,1,13507
147,1145.452,1193,1166,426,2402,319,64.2,32,0.595,0.76,5.29,2.19,1.3,0.41,0.6,0.38,0.27,7.25,1.15,jja,152.9,2.71,djf,312,0.13,0.079,0.584,0.0,0.001,0.036,3.61,3.43,0.72,0.11,0.86,0.84,1.45,0.59,0.47,0.044,0.09,0.421,0.373,0.206,0.128,0.014,sc,0.0,0.27,0.0,0.0,0.0,0.0,0.632,0.051,0.0,0.03,0.0,0.016,0.0,-11.9,0.06,203521,Siezenheim (Summenpegel),Saalach mit Werkskanaelen,1139.1,416,4543821,2748698,AUT,SBG,Salzach,1981,1984,0,0.892,0.889,1.006,RL35056780,20432875.0,A,1,0,s,3.346,0.633,1.042,1.798,0.707,0.687,220.95,1.108,7.778,0.701,1.273,0.0,0.0,0.0,3.309,0.632,1.078,1.819,0.709,0.694,222.667,1.086,7.655,0.584,1.312,0.083,3.0,0.0,5.29,4.1,5.08,3.63,6.74,2.19,1.3,3.35,3.31,0,0,1,13500
148,40.757,481,466,56,285,83,10.3,203,0.702,0.29,3.81,2.29,1.62,0.6,0.72,0.3,0.09,10.65,1.17,jja,179.85,3.08,djf,231,0.683,0.0,0.273,0.0,0.0,0.045,4.37,3.92,0.8,0.27,1.04,0.78,5.11,1.02,0.55,0.095,0.18,0.413,0.327,0.26,0.074,0.062,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.19,203844,Nussdorf,Oichtenbach,40.5,414,4545377,2767338,AUT,SBG,Salzach,1983,1983,0,0.0,0.0,1.006,RL35057771,20428066.0,-,0,0,l,1.582,0.415,0.967,1.333,0.596,0.574,186.3,0.454,3.988,5.5,1.549,1.6,4.571,0.0,1.586,0.42,1.027,1.29,0.599,0.575,187.029,0.454,3.88,5.853,1.519,1.323,5.0,0.0,3.81,3.15,3.33,3.4,2.93,2.29,1.62,1.58,1.59,0,0,0,12784
